event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
3427,alloc,1094,7002464,7241728,0.966960,110304,128960
3428,alloc,3917,7006384,7245824,0.966955,110416,129024
3429,alloc,1157,7007556,7245824,0.967117,109244,129024
3430,alloc,2243,7009800,7249920,0.966880,111032,129088
3431,alloc,1739,7011544,7249920,0.967120,109288,129088
3432,alloc,637,7012212,7249920,0.967212,108620,129088
3433,alloc,4067,7016280,7258112,0.966681,112680,129152
3434,alloc,1198,7017492,7258112,0.966848,111468,129152
3435,alloc,2072,7019564,7258112,0.967134,109364,129184
3436,alloc,1029,7020596,7258112,0.967276,108300,129216
3437,alloc,2268,7022864,7262208,0.967043,110064,129280
3438,alloc,1669,7024536,7262208,0.967273,108360,129312
3439,alloc,886,7025424,7262208,0.967395,107440,129344
3440,alloc,1205,7026632,7262208,0.967561,106200,129376
3441,alloc,327,7026988,7262208,0.967610,105844,129376
3442,alloc,1108,7028096,7262208,0.967763,104704,129408
3443,alloc,3322,7031420,7266304,0.967675,105412,129472
3444,alloc,644,7032092,7266304,0.967767,104740,129472
3445,alloc,497,7032592,7266304,0.967836,104240,129472
3446,alloc,2855,7035448,7270400,0.967684,105416,129536
3447,alloc,3496,7038944,7274496,0.967619,105952,129600
3448,alloc,1593,7040540,7274496,0.967839,104356,129600
3449,alloc,2849,7043392,7278592,0.967686,105536,129664
3450,alloc,2432,7045824,7282688,0.967476,107136,129728
3451,alloc,1376,7047200,7282688,0.967665,105728,129760
3452,alloc,3599,7050800,7286784,0.967615,106160,129824
3453,alloc,1601,7052408,7286784,0.967835,104552,129824
3454,alloc,2919,7055328,7290880,0.967692,105664,129888
3455,alloc,2180,7057508,7294976,0.967448,107516,129952
3456,alloc,3369,7060880,7299072,0.967367,108176,130016
3457,alloc,1818,7062732,7299072,0.967621,106324,130016
3458,alloc,3479,7066212,7303168,0.967554,106876,130080
3459,alloc,2429,7068644,7307264,0.967345,108476,130144
3460,alloc,506,7069176,7307264,0.967418,107944,130144
3461,alloc,1676,7070852,7307264,0.967647,106236,130176
3462,alloc,96,7070948,7307264,0.967660,106140,130176
3463,alloc,3910,7074860,7311360,0.967653,106260,130240
3464,alloc,3186,7078048,7315456,0.967547,107104,130304
3465,alloc,3156,7081204,7319552,0.967437,107980,130368
3466,alloc,3853,7085060,7323648,0.967422,108156,130432
3467,alloc,3855,7088916,7327744,0.967408,108332,130496
3468,alloc,532,7089452,7327744,0.967481,107796,130496
3469,alloc,24,7089476,7327744,0.967484,107772,130496
3470,alloc,1975,7091468,7327744,0.967756,105780,130496
3471,alloc,1722,7093192,7327744,0.967991,104024,130528
3472,alloc,983,7094176,7327744,0.968126,103008,130560
3473,alloc,1011,7095188,7327744,0.968264,101964,130592
3474,alloc,3090,7098280,7331840,0.968144,102904,130656
3475,alloc,1858,7100140,7331840,0.968398,101012,130688
3476,alloc,230,7100372,7331840,0.968430,100780,130688
3477,alloc,1913,7102288,7331840,0.968691,98832,130720
3478,alloc,1469,7103772,7331840,0.968893,97348,130720
3479,alloc,553,7104332,7331840,0.968970,96788,130720
3480,alloc,2825,7107160,7335936,0.968814,97992,130784
3481,alloc,2226,7109388,7340032,0.968577,99796,130848
3482,alloc,269,7109668,7340032,0.968615,99516,130848
3483,alloc,62,7109732,7340032,0.968624,99452,130848
3484,alloc,1070,7110804,7340032,0.968770,98348,130880
3485,alloc,3909,7114716,7344128,0.968763,98468,130944
3486,alloc,2580,7117296,7348224,0.968574,99920,131008
3487,alloc,3658,7120956,7352320,0.968532,100292,131072
3488,alloc,3861,7124820,7356416,0.968518,100460,131136
3489,alloc,2895,7127716,7360512,0.968372,101596,131200
3490,alloc,2438,7130156,7364608,0.968165,103188,131264
3491,alloc,991,7131148,7364608,0.968300,102164,131296
3492,alloc,1768,7132916,7364608,0.968540,100364,131328
3493,alloc,3255,7136172,7368704,0.968443,101140,131392
3494,alloc,969,7137144,7368704,0.968575,100136,131424
3495,alloc,2278,7139424,7372800,0.968346,101888,131488
3496,alloc,3401,7142828,7376896,0.968270,102516,131552
3497,alloc,3985,7146816,7380992,0.968273,102560,131616
3498,alloc,1837,7148656,7380992,0.968522,100688,131648
3499,alloc,1412,7150068,7380992,0.968714,99244,131680
3500,alloc,1808,7151876,7380992,0.968959,97404,131712
3501,alloc,3968,7155844,7385088,0.968959,97468,131776
3502,alloc,3675,7159520,7389184,0.968919,97824,131840
3503,alloc,1913,7161436,7389184,0.969178,95876,131872
3504,alloc,454,7161892,7389184,0.969240,95388,131904
3505,alloc,586,7162480,7389184,0.969319,94800,131904
3506,alloc,477,7162960,7389184,0.969384,94288,131936
3507,alloc,1315,7164276,7389184,0.969563,92940,131968
3508,alloc,438,7164716,7389184,0.969622,92468,132000
3509,alloc,1719,7166468,7389184,0.969859,90716,132000
3510,alloc,3356,7169824,7393280,0.969776,91392,132064
3511,alloc,2687,7172512,7397376,0.969602,92736,132128
3512,alloc,1080,7173592,7397376,0.969748,91624,132160
3513,alloc,3670,7177264,7401472,0.969708,91984,132224
3514,alloc,3024,7180288,7405568,0.969580,92992,132288
3515,alloc,1472,7181760,7405568,0.969778,91488,132320
3516,alloc,1633,7183400,7405568,0.970000,89848,132320
3517,alloc,1709,7185112,7405568,0.970231,88104,132352
3518,alloc,3180,7188292,7409664,0.970124,88956,132416
