event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
4038,alloc,3972,8230160,9388032,0.876665,973200,184672
4039,alloc,1268,8231428,9388032,0.876800,971932,184672
4040,alloc,3028,8234456,9392128,0.876740,972936,184736
4041,alloc,1438,8235896,9392128,0.876894,971464,184768
4042,alloc,1032,8236928,9392128,0.877003,970400,184800
4043,alloc,3945,8240876,9396224,0.877041,970484,184864
4044,alloc,2874,8243752,9400320,0.876965,971640,184928
4045,alloc,1576,8245328,9404416,0.876751,974096,184992
4046,alloc,1858,8247188,9404416,0.876948,972204,185024
4047,alloc,3358,8250548,9408512,0.876924,972876,185088
4048,alloc,367,8250916,9408512,0.876963,972476,185120
4049,alloc,666,8251584,9408512,0.877034,971808,185120
4050,alloc,996,8252580,9408512,0.877140,970780,185152
4051,alloc,3167,8255748,9412608,0.877095,971644,185216
4052,alloc,704,8256452,9412608,0.877169,970908,185248
4053,alloc,2927,8259380,9416704,0.877099,972012,185312
4054,alloc,2010,8261392,9420800,0.876931,974032,185376
4055,alloc,2856,8264248,9424896,0.876853,975208,185440
4056,alloc,857,8265108,9424896,0.876944,974316,185472
4057,alloc,3856,8268964,9428992,0.876972,974492,185536
4058,alloc,945,8269912,9428992,0.877073,973512,185568
4059,alloc,3351,8273264,9433088,0.877047,974192,185632
4060,alloc,2223,8275488,9437184,0.876902,976000,185696
4061,alloc,2005,8277496,9441280,0.876735,978024,185760
4062,alloc,3114,8280612,9445376,0.876684,978940,185824
4063,alloc,3002,8283616,9449472,0.876622,979968,185888
4064,alloc,3827,8287444,9453568,0.876647,980172,185952
4065,alloc,1843,8289288,9453568,0.876842,978296,185984
4066,alloc,3863,8293152,9457664,0.876871,978464,186048
4067,alloc,3110,8296264,9461760,0.876820,979384,186112
4068,alloc,372,8296636,9461760,0.876860,978980,186144
4069,alloc,2631,8299268,9465856,0.876758,980380,186208
4070,alloc,2465,8301736,9469952,0.876640,981944,186272
4071,alloc,1363,8303100,9469952,0.876784,980548,186304
4072,alloc,3111,8306212,9474048,0.876733,981468,186368
4073,alloc,3818,8310032,9478144,0.876757,981680,186432
4074,alloc,157,8310192,9478144,0.876774,981520,186432
4075,alloc,1514,8311708,9478144,0.876934,979972,186464
4076,alloc,1175,8312884,9478144,0.877058,978764,186496
4077,alloc,2399,8315284,9482240,0.876932,980396,186560
4078,alloc,234,8315520,9482240,0.876957,980128,186592
4079,alloc,1367,8316888,9482240,0.877102,978760,186592
4080,alloc,285,8317176,9482240,0.877132,978440,186624
4081,alloc,3812,8320988,9486336,0.877155,978660,186688
4082,alloc,3984,8324972,9490432,0.877196,978708,186752
4083,alloc,2107,8327080,9494528,0.877040,980632,186816
4084,alloc,404,8327484,9494528,0.877082,980196,186848
4085,alloc,2471,8329956,9498624,0.876964,981756,186912
4086,alloc,3348,8333304,9502720,0.876939,982440,186976
4087,alloc,716,8334020,9502720,0.877014,981692,187008
4088,alloc,742,8334764,9502720,0.877092,980916,187040
4089,alloc,2689,8337456,9506816,0.876998,982256,187104
4090,alloc,3639,8341096,9510912,0.877003,982648,187168
4091,alloc,3146,8344244,9515008,0.876956,983532,187232
4092,alloc,2966,8347212,9519104,0.876891,984596,187296
4093,alloc,1762,8348976,9523200,0.876699,986864,187360
4094,alloc,2269,8351248,9527296,0.876560,988624,187424
4095,alloc,3512,8354760,9531392,0.876552,989144,187488
4096,alloc,3432,8358192,9535488,0.876535,989744,187552
4097,alloc,1062,8359256,9535488,0.876647,988648,187584
4098,alloc,1778,8361036,9539584,0.876457,990900,187648
4099,alloc,575,8361612,9539584,0.876517,990292,187680
4100,alloc,288,8361900,9539584,0.876548,989972,187712
4101,alloc,3941,8365844,9543680,0.876585,990060,187776
4102,alloc,2181,8368028,9547776,0.876437,991908,187840
4103,alloc,2091,8370120,9551872,0.876281,993848,187904
4104,alloc,2176,8372296,9555968,0.876133,995704,187968
4105,alloc,970,8373268,9555968,0.876234,994700,188000
4106,alloc,1418,8374688,9555968,0.876383,993248,188032
4107,alloc,2904,8377592,9560064,0.876311,994376,188096
4108,alloc,2569,8380164,9564160,0.876205,995836,188160
4109,alloc,372,8380536,9564160,0.876244,995432,188192
4110,alloc,3840,8384376,9568256,0.876270,995624,188256
4111,alloc,3259,8387636,9572352,0.876236,996396,188320
4112,alloc,3446,8391084,9576448,0.876221,996980,188384
4113,alloc,255,8391340,9576448,0.876248,996724,188384
4114,alloc,1163,8392504,9576448,0.876369,995528,188416
4115,alloc,3410,8395916,9580544,0.876351,996148,188480
4116,alloc,2552,8398468,9584640,0.876242,997628,188544
4117,alloc,132,8398600,9584640,0.876256,997496,188544
4118,alloc,2057,8400660,9588736,0.876097,999468,188608
4119,alloc,462,8401124,9588736,0.876145,999004,188608
4120,alloc,2271,8403396,9592832,0.876008,1000764,188672
4121,alloc,2762,8406160,9596928,0.875922,1002032,188736
4122,alloc,2225,8408388,9601024,0.875780,1003836,188800
4123,alloc,2937,8411328,9605120,0.875713,1004928,188864
4124,alloc,612,8411940,9605120,0.875777,1004316,188864
4125,alloc,1601,8413544,9605120,0.875944,1002680,188896
4126,alloc,633,8414180,9605120,0.876010,1002012,188928
4127,alloc,2184,8416364,9609216,0.875864,1003860,188992
4128,alloc,1087,8417452,9609216,0.875977,1002740,189024
4129,alloc,239,8417692,9609216,0.876002,1002500,189024
4130,alloc,1459,8419152,9609216,0.876154,1001008,189056
4131,alloc,2021,8421176,9613312,0.875991,1003016,189120
4132,alloc,1904,8423080,9613312,0.876189,1001080,189152
4133,alloc,3337,8426420,9617408,0.876163,1001772,189216
4134,alloc,1873,8428296,9621504,0.875985,1003928,189280
4135,alloc,3868,8432164,9625600,0.876014,1004092,189344
4136,alloc,666,8432832,9625600,0.876084,1003392,189376
4137,alloc,1914,8434748,9629696,0.875910,1005508,189440
4138,alloc,543,8435292,9629696,0.875967,1004932,189472
4139,alloc,2758,8438052,9633792,0.875881,1006204,189536
4140,alloc,1447,8439500,9633792,0.876031,1004724,189568
4141,alloc,1709,8441212,9633792,0.876209,1002980,189600
4142,alloc,3304,8444516,9637888,0.876179,1003708,189664
4143,alloc,311,8444828,9637888,0.876211,1003396,189664
4144,alloc,3477,8448308,9641984,0.876200,1003948,189728
4145,alloc,2652,8450960,9646080,0.876103,1005328,189792
4146,alloc,1589,8452552,9646080,0.876268,1003704,189824
4147,alloc,19,8452572,9646080,0.876270,1003684,189824
4148,alloc,1523,8454096,9646080,0.876428,1002128,189856
4149,alloc,1726,8455824,9650176,0.876235,1004432,189920
4150,alloc,2732,8458556,9654272,0.876146,1005732,189984
4151,alloc,375,8458932,9654272,0.876185,1005356,189984
4152,alloc,3756,8462688,9658368,0.876203,1005632,190048
4153,alloc,3401,8466092,9662464,0.876184,1006260,190112
4154,alloc,2709,8468804,9666560,0.876093,1007580,190176
4155,alloc,2770,8471576,9670656,0.876008,1008840,190240
4156,alloc,3761,8475340,9674752,0.876027,1009108,190304
4157,alloc,1470,8476812,9674752,0.876179,1007604,190336
4158,alloc,2522,8479336,9678848,0.876069,1009112,190400
4159,alloc,2375,8481712,9682944,0.875944,1010768,190464
4160,alloc,1781,8483496,9687040,0.875757,1013016,190528
4161,alloc,3724,8487220,9691136,0.875771,1013324,190592
4162,alloc,674,8487896,9691136,0.875841,1012616,190624
4163,alloc,3950,8491848,9695232,0.875879,1012696,190688
4164,alloc,2937,8494788,9699328,0.875812,1013788,190752
4165,alloc,3169,8497960,9703424,0.875769,1014648,190816
4166,alloc,608,8498568,9703424,0.875832,1014040,190816
4167,alloc,1316,8499884,9703424,0.875967,1012692,190848
4168,alloc,2553,8502440,9707520,0.875861,1014168,190912
4169,alloc,3384,8505824,9711616,0.875840,1014816,190976
4170,alloc,3385,8509212,9715712,0.875820,1015460,191040
4171,alloc,4055,8513276,9719808,0.875869,1015460,191072
4172,alloc,2104,8515380,9723904,0.875716,1017388,191136
4173,alloc,566,8515948,9723904,0.875775,1016820,191136
4174,alloc,3996,8519944,9728000,0.875817,1016856,191200
4175,alloc,2960,8522904,9732096,0.875752,1017928,191264
4176,alloc,3768,8526672,9736192,0.875771,1018192,191328
4177,alloc,1665,8528340,9736192,0.875942,1016492,191360
4178,alloc,1337,8529680,9736192,0.876080,1015120,191392
4179,alloc,1629,8531312,9740288,0.875879,1017520,191456
4180,alloc,2245,8533560,9740288,0.876110,1015240,191488
4181,alloc,3884,8537444,9744384,0.876140,1015388,191552
4182,alloc,2376,8539820,9748480,0.876016,1017044,191616
4183,alloc,535,8540356,9748480,0.876071,1016476,191648
4184,alloc,2911,8543268,9752576,0.876001,1017596,191712
4185,alloc,3332,8546600,9756672,0.875975,1018296,191776
4186,alloc,1539,8548140,9756672,0.876133,1016756,191776
4187,alloc,3981,8552124,9760768,0.876173,1016804,191840
4188,alloc,3210,8555336,9764864,0.876135,1017624,191904
4189,alloc,1654,8556992,9768960,0.875937,1020000,191968
4190,alloc,3421,8560416,9773056,0.875920,1020608,192032
4191,alloc,744,8561160,9773056,0.875996,1019864,192032
4192,alloc,3972,8565132,9777152,0.876035,1019924,192096
4193,alloc,3685,8568820,9781248,0.876046,1020268,192160
4194,alloc,1627,8570448,9781248,0.876212,1018608,192192
4195,alloc,3638,8574088,9785344,0.876217,1019000,192256
