event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
4417,alloc,3326,9057124,10764288,0.841405,1484796,222368
4418,alloc,2908,9060032,10768384,0.841355,1485920,222432
4419,alloc,2056,9062088,10772480,0.841226,1487896,222496
4420,alloc,2656,9064744,10776576,0.841153,1489272,222560
4421,alloc,2596,9067340,10780672,0.841074,1490708,222624
4422,alloc,124,9067464,10780672,0.841085,1490552,222656
4423,alloc,647,9068112,10780672,0.841145,1489872,222688
4424,alloc,3330,9071444,10784768,0.841135,1490572,222752
4425,alloc,2911,9074356,10788864,0.841085,1491692,222816
4426,alloc,1871,9076228,10792960,0.840940,1493852,222880
4427,alloc,1599,9077828,10792960,0.841088,1492220,222912
4428,alloc,1226,9079056,10792960,0.841202,1490960,222944
4429,alloc,2877,9081936,10797056,0.841149,1492112,223008
4430,alloc,213,9082152,10797056,0.841169,1491864,223040
4431,alloc,1721,9083876,10801152,0.841010,1494172,223104
4432,alloc,3726,9087604,10805248,0.841036,1494476,223168
4433,alloc,3186,9090792,10809344,0.841012,1495320,223232
4434,alloc,70,9090864,10809344,0.841019,1495216,223264
4435,alloc,1394,9092260,10809344,0.841148,1493788,223296
4436,alloc,161,9092424,10809344,0.841163,1493592,223328
4437,alloc,275,9092700,10809344,0.841189,1493284,223360
4438,alloc,22,9092724,10809344,0.841191,1493228,223392
4439,alloc,1572,9094296,10813440,0.841018,1495688,223456
4440,alloc,1799,9096096,10813440,0.841184,1493856,223488
4441,alloc,1469,9097568,10817536,0.841002,1496416,223552
4442,alloc,3556,9101124,10821632,0.841012,1496892,223616
4443,alloc,1730,9102856,10821632,0.841172,1495128,223648
4444,alloc,1234,9104096,10821632,0.841287,1493888,223648
4445,alloc,196,9104292,10821632,0.841305,1493660,223680
4446,alloc,613,9104908,10821632,0.841362,1493012,223712
4447,alloc,1846,9106756,10825728,0.841214,1495196,223776
4448,alloc,1623,9108380,10825728,0.841364,1493540,223808
4449,alloc,1428,9109808,10829824,0.841178,1496144,223872
4450,alloc,110,9109920,10829824,0.841188,1496000,223904
4451,alloc,2855,9112776,10833920,0.841134,1497176,223968
4452,alloc,1672,9114448,10833920,0.841288,1495472,224000
4453,alloc,120,9114568,10833920,0.841299,1495320,224032
4454,alloc,3076,9117644,10838016,0.841265,1496276,224096
4455,alloc,2938,9120584,10842112,0.841218,1497368,224160
4456,alloc,3359,9123944,10846208,0.841210,1498040,224224
4457,alloc,467,9124412,10846208,0.841254,1497540,224256
4458,alloc,2443,9126856,10850304,0.841161,1499128,224320
4459,alloc,1446,9128304,10850304,0.841295,1497648,224352
4460,alloc,2284,9130588,10854400,0.841188,1499396,224416
4461,alloc,2738,9133328,10858496,0.841123,1500688,224480
4462,alloc,3583,9136912,10862592,0.841136,1501136,224544
4463,alloc,3075,9139988,10866688,0.841102,1502092,224608
4464,alloc,1630,9141620,10866688,0.841252,1500428,224640
4465,alloc,1899,9143520,10870784,0.841110,1502560,224704
4466,alloc,2284,9145804,10874880,0.841003,1504308,224768
4467,alloc,3447,9149252,10878976,0.841003,1504892,224832
4468,alloc,3339,9152592,10883072,0.840993,1505584,224896
4469,alloc,2603,9155196,10887168,0.840916,1507012,224960
4470,alloc,3740,9158936,10891264,0.840943,1507304,225024
4471,alloc,1227,9160164,10891264,0.841056,1506044,225056
4472,alloc,2093,9162260,10895360,0.840932,1507980,225120
4473,alloc,1801,9164064,10895360,0.841098,1506144,225152
4474,alloc,2653,9166720,10899456,0.841025,1507520,225216
4475,alloc,2167,9168888,10903552,0.840908,1509384,225280
4476,alloc,671,9169560,10903552,0.840970,1508680,225312
4477,alloc,649,9170212,10903552,0.841030,1507996,225344
4478,alloc,1385,9171600,10903552,0.841157,1506576,225376
4479,alloc,1204,9172804,10903552,0.841268,1505340,225408
4480,alloc,4013,9176820,10907648,0.841320,1505356,225472
4481,alloc,282,9177104,10907648,0.841346,1505040,225504
4482,alloc,2535,9179640,10911744,0.841262,1506536,225568
4483,alloc,2244,9181884,10915840,0.841152,1508324,225632
4484,alloc,3967,9185852,10919936,0.841200,1508388,225696
4485,alloc,1914,9187768,10924032,0.841060,1510504,225760
4486,alloc,1551,9189320,10924032,0.841202,1508920,225792
4487,alloc,3253,9192576,10928128,0.841185,1509696,225856
4488,alloc,2288,9194864,10932224,0.841079,1511440,225920
4489,alloc,3722,9198588,10936320,0.841105,1511748,225984
4490,alloc,1087,9199676,10936320,0.841204,1510628,226016
4491,alloc,3313,9202992,10940416,0.841192,1511344,226080
4492,alloc,1511,9204504,10940416,0.841330,1509800,226112
4493,alloc,1341,9205848,10940416,0.841453,1508424,226144
4494,alloc,3852,9209700,10944512,0.841490,1508604,226208
4495,alloc,2315,9212016,10948608,0.841387,1510320,226272
4496,alloc,1583,9213600,10948608,0.841532,1508704,226304
4497,alloc,3536,9217136,10952704,0.841540,1509200,226368
4498,alloc,3195,9220332,10956800,0.841517,1510036,226432
4499,alloc,2638,9222972,10960896,0.841443,1511428,226496
4500,alloc,3935,9226908,10964992,0.841488,1511524,226560
4501,alloc,2156,9229064,10969088,0.841370,1513400,226624
4502,alloc,686,9229752,10969088,0.841433,1512680,226656
4503,alloc,984,9230736,10969088,0.841523,1511664,226688
4504,alloc,123,9230860,10969088,0.841534,1511508,226720
4505,alloc,2330,9233192,10973184,0.841432,1513208,226784
4506,alloc,383,9233576,10973184,0.841467,1512792,226816
4507,alloc,3156,9236732,10977280,0.841441,1513668,226880
4508,alloc,3092,9239824,10981376,0.841409,1514608,226944
4509,alloc,1226,9241052,10981376,0.841520,1513348,226976
4510,alloc,677,9241732,10981376,0.841582,1512636,227008
4511,alloc,923,9242656,10981376,0.841666,1511680,227040
4512,alloc,3560,9246216,10985472,0.841677,1512152,227104
4513,alloc,1305,9247524,10989568,0.841482,1514876,227168
4514,alloc,2587,9250112,10989568,0.841718,1512256,227200
4515,alloc,1069,9251184,10989568,0.841815,1511152,227232
4516,alloc,2106,9253292,10993664,0.841693,1513076,227296
4517,alloc,2295,9255588,10997760,0.841588,1514812,227360
4518,alloc,2639,9258228,11001856,0.841515,1516204,227424
4519,alloc,3390,9261620,11005952,0.841510,1516844,227488
4520,alloc,1984,9263604,11010048,0.841377,1518892,227552
4521,alloc,3848,9267452,11014144,0.841414,1519076,227616
4522,alloc,1162,9268616,11014144,0.841519,1517880,227648
4523,alloc,518,9269136,11014144,0.841567,1517328,227680
4524,alloc,467,9269604,11014144,0.841609,1516828,227712
4525,alloc,3656,9273260,11018240,0.841628,1517204,227776
